# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11992
#@/user_id	Family-Windows11
a 	啊	c=124 d=2.86226 t=11992
wo cai 	我才	c=0 d=0.1 t=5093
wo cai gan jue 	我才感覺	c=1 d=1 t=5094
wo cao 	我操	c=3 d=1.0022 t=5432
wo cha dian 	我差點	c=1 d=1 t=3294
wo chong fa yi xia 	我重發一下	c=1 d=1 t=2060
wo chong qi 	我重啓	c=2 d=1 t=8436
wo chong xin 	我重新	c=1 d=1 t=1153
wo chu 	我處	c=0 d=0.1 t=2022
wo chu fa le yo 	我處發了喲	c=1 d=1 t=2023
wo chuang 	我牀	c=1 d=1 t=5173
wo dai ma 	我代碼	c=1 d=1 t=3024
wo de 	我得	c=2 d=0.153596 t=11992
wo de 	我的	c=12 d=0.811142 t=9585
wo dei 	我得	c=3 d=1.88715 t=5404
wo deng ni 	我等你	c=2 d=0.0258615 t=11992
wo dian le 	我點了	c=1 d=1 t=7274
wo dou 	我都	c=4 d=1.94668 t=11586
wo dou gai le 	我都改了	c=1 d=1 t=7986
wo dou ke yi 	我都可以	c=1 d=1 t=9327
wo dou mei sha 	我都沒啥	c=1 d=1 t=10340
wo dou shi 	我都是	c=1 d=1 t=2604
wo dou wang le 	我都忘了	c=1 d=1 t=1165
wo dui ni 	我對你	c=1 d=1 t=10483
wo fa 	我發	c=2 d=1 t=8979
wo fa gei ni 	我發給你	c=1 d=1 t=6066
wo fa le 	我發了	c=1 d=1 t=8968
wo fa ni 	我發你	c=1 d=1 t=1958
wo fan ying 	我反映	c=0 d=0.1 t=6555
wo fan ying le 	我反映了	c=1 d=1 t=6556
wo fu xi 	我復習	c=1 d=1 t=6831
wo gai ge 	我改個	c=1 d=1 t=1521
wo gai le 	我改了	c=3 d=1 t=7567
wo gan jue 	我感覺	c=1 d=1 t=5713
wo gang 	我剛	c=1 d=1 t=3841
wo gao cheng 	我搞成	c=1 d=1 t=1289
wo gei ni 	我給你	c=7 d=1.00454 t=10709
wo gei ni fa de 	我給你發的	c=2 d=1.02065 t=2753
wo gen ni 	我跟你	c=2 d=1 t=8913
wo gen ta 	我跟他	c=1 d=1 t=5599
wo guo lai 	我過來	c=5 d=1.12741 t=9689
wo hai bu 	我還不	c=0 d=0.1 t=5209
wo hai bu shi 	我還不是	c=1 d=1 t=5210
wo hai dei 	我還得	c=1 d=1 t=7838
wo hai mei zhu yi 	我还没注意	c=1 d=1 t=11967
wo hai shuo 	我還說	c=1 d=1 t=8902
wo hai yi wei 	我還以爲	c=1 d=1 t=7192
wo hai zai 	我還在	c=2 d=1 t=11724
wo hao 	我好	c=1 d=0.130807 t=10461
wo hao fu zhi 	我好複製	c=1 d=1 t=10462
wo hao xiang 	我好像	c=2 d=1.00019 t=2417
wo hen zao 	我很早	c=1 d=1 t=1091
wo hua fei 	我話費	c=1 d=1 t=8236
wo ji de 	我記得	c=1 d=1 t=5875
wo jia 	我家	c=1 d=1.03707 t=3332
wo jia ge 	我加個	c=1 d=1 t=8000
wo jiao ni 	我教你	c=1 d=1 t=1321
wo jin tian 	我今天	c=1 d=0.0569831 t=11992
wo jiu 	我就	c=7 d=1.75578 t=11913
wo jiu shi 	我就是	c=1 d=1 t=1044
wo jue de 	我覺得	c=7 d=1 t=10061
wo kan 	我看	c=15 d=0.759572 t=11992
wo kan ba 	我看吧	c=1 d=1 t=7712
wo kan dao 	我看到	c=1 d=1 t=6255
wo kan ge 	我看個	c=1 d=1 t=954
wo kan ha 	我看哈	c=1 d=1 t=5045
wo kan kan 	我看看	c=7 d=1.02806 t=11047
wo kan le 	我看了	c=1 d=0.102091 t=5969
wo kan le dian 	我看了點	c=1 d=1 t=5970
wo kan xia 	我看下	c=1 d=1 t=4598
wo kan xia ai 	我看下唉	c=2 d=1 t=10612
wo ke shi 	我可使	c=1 d=1 t=2409
wo ke yi 	我可以	c=3 d=1.00465 t=9405
wo kong zhi 	我控制	c=1 d=0.839457 t=11992
wo lai 	我來	c=0 d=0.1 t=6484
wo lai de 	我來的	c=0 d=0.1 t=9677
wo lai de hua 	我來的話	c=1 d=1 t=9678
wo lai nong 	我來弄	c=1 d=1 t=6485
wo lai ti jiao 	我來提交	c=1 d=1 t=3023
wo lin zou 	我臨走	c=1 d=1 t=6125
wo ma 	我嗎	c=1 d=1 t=3325
wo ma 	我媽	c=5 d=3.08057 t=3675
wo ma shang lai 	我馬上來	c=1 d=1 t=7913
wo man man kan 	我漫漫看	c=1 d=1 t=2463
wo mei 	我沒	c=1 d=1 t=11578
wo mei gai 	我沒改	c=1 d=1 t=8440
wo mei shan 	我没删	c=1 d=1 t=11564
wo mei shi jian 	我沒時間	c=1 d=1 t=5365
wo mei zou 	我沒走	c=1 d=1 t=8729
wo men 	我們	c=13 d=0.339596 t=11992
wo men gong si 	我們公司	c=2 d=1 t=10042
wo men na bian 	我們那邊	c=1 d=1 t=3524
wo men shi 	我們是	c=1 d=1 t=10923
wo men yong de 	我們用的	c=1 d=1 t=1032
wo ming bai 	我明白	c=1 d=1 t=4370
wo ming tian 	我明天	c=1 d=1 t=6884
wo na ge 	我那個	c=3 d=1 t=7043
wo na li 	我那裡	c=3 d=1 t=6362
wo neng 	我能	c=1 d=1 t=6175
wo nong na ge 	我弄那個	c=1 d=1 t=702
wo pai gei 	我派給	c=3 d=1 t=8558
wo pai gei ni 	我派給你	c=1 d=1 t=4265
wo pei zhi xia 	我配直下	c=1 d=1 t=6762
wo ren shi de 	我認識的	c=1 d=1 t=6251
wo sang zi 	我嗓子	c=1 d=1 t=4942
wo shang ci 	我上次	c=1 d=1 t=8269
wo she zhi le yi xian ai 	我設置了胰腺癌	c=1 d=1 t=6704
wo shi 	我是	c=6 d=1 t=10059
wo shuo 	我說	c=4 d=0.126947 t=9995
wo ti jiao 	我提交	c=1 d=1 t=1166
wo tong shi 	我同事	c=1 d=1 t=5772
wo tui jian 	我推薦	c=1 d=1 t=6783
wo wang le 	我忘了	c=3 d=1 t=9507
wo wei sha 	我为啥	c=1 d=1 t=11935
wo wei sha mei qu 	我爲啥沒去	c=1 d=1 t=2541
wo wen 	我問	c=2 d=1 t=11501
wo wen le zai 	我問了在	c=1 d=1 t=4724
wo wen wen 	我問問	c=3 d=1.00004 t=10316
wo wen xia 	我問下	c=2 d=1 t=11479
wo xia ban 	我下班	c=1 d=1 t=2664
wo xian 	我先	c=4 d=1 t=11581
wo xian zai 	我現在	c=3 d=1.07808 t=10116
wo xiang 	我想	c=1 d=0.1 t=6486
wo xiang le xia 	我想了下	c=1 d=1 t=6487
wo xiang qi lai 	我想起來	c=1 d=1 t=2876
wo xiang wen 	我想問	c=1 d=1 t=2089
wo xiang zhi dao 	我想知道	c=1 d=1 t=11780
wo xiao cheng xu 	我小程序	c=1 d=1 t=10001
wo xiao de 	我曉得	c=1 d=1 t=8184
wo xie 	我寫	c=0 d=0.1 t=498
wo xie de 	我寫的	c=1 d=1 t=2802
wo xie le 	我寫了	c=1 d=1 t=499
wo xuan ze 	我選擇	c=1 d=1 t=3648
wo yan 	沃衍	c=0 d=0.1 t=6961
wo yan zheng xia 	沃衍正下	c=1 d=1 t=6962
wo yao shi 	我要是	c=1 d=1 t=1646
wo ye 	我也	c=2 d=0.00352602 t=11992
wo ye gang nong wan 	我也剛弄完	c=1 d=0.035437 t=11992
wo ye mei 	我也沒	c=1 d=1 t=3604
wo ye shi 	我也是	c=2 d=1.00003 t=10292
wo ye shi shuo 	我也是說	c=1 d=1 t=4722
wo yi 	我一	c=0 d=0.1 t=10341
wo yi dan 	我一但	c=1 d=1 t=10342
wo yi jing 	我已經	c=1 d=1 t=1237
wo yi wei 	我以爲	c=2 d=1.22425 t=737
wo yi xia 	我一下	c=1 d=1 t=11318
wo yi zhi 	我一直	c=1 d=1 t=1228
wo you 	我有	c=1 d=1 t=3725
wo you bu shi 	我又不是	c=1 d=1 t=10680
wo you yao 	我又要	c=1 d=1 t=7268
wo yue 	沃曰	c=3 d=1 t=7204
wo zai 	我再	c=1 d=0.036334 t=11992
wo zai 	我在	c=5 d=1 t=11312
wo zai 	臥在	c=1 d=1 t=1157
wo zai chong qing 	我在重慶	c=1 d=1 t=3338
wo zai fa ban 	我在發版	c=1 d=1 t=8769
wo zai kai hui 	我在開會	c=1 d=1 t=1991
wo zai kan 	我在看	c=1 d=1 t=11361
wo zai na bian 	我在那邊	c=1 d=1 t=3632
wo zai xiang 	我在想	c=1 d=1 t=6304
wo zao jiu 	我早就	c=1 d=1 t=1028
wo zhao 	我找	c=0 d=0.1 t=416
wo zhao xia 	我找下	c=1 d=1 t=417
wo zhao zhao 	我找找	c=1 d=1 t=8195
wo zhe 	握着	c=1 d=1 t=9515
wo zhe bian 	我這邊	c=4 d=1.03456 t=10159
wo zhe ge 	我這個	c=2 d=0.579841 t=11992
wo zhe li 	我這裡	c=1 d=1.03239 t=7953
wo zhen 	我真	c=1 d=1 t=10372
wo zheng 	我正	c=0 d=0.1 t=4686
wo zheng hao 	我正好	c=1 d=1 t=4687
wo zhi 	我只	c=1 d=1 t=7557
wo zhi dao 	我知道	c=7 d=1.00562 t=9463
wo zhi dao de 	我知道的	c=1 d=0.0829099 t=11992
wo zhi dao le 	我知道了	c=1 d=1 t=49
wo zhi jie 	我只接	c=3 d=1 t=9939
wo zhi jie 	我志傑	c=1 d=0.0731678 t=11992
wo zhi neng 	我只能	c=1 d=1 t=2355
wo zhi shi 	我只是	c=1 d=1 t=4550
wo zhi zhen dui 	我只針對	c=1 d=1 t=3749
wo zhong wu 	我中午	c=1 d=1 t=11684
wo zhou liu 	我週六	c=1 d=1 t=4352
wo zhou mo 	我週末	c=1 d=1 t=2608
wo zhu dong 	我主动	c=1 d=1 t=11768
wo zhuan men 	我專門	c=1 d=0.637628 t=11992
wo zhun bei 	我準備	c=1 d=1 t=3845
wo zi ji 	我自己	c=3 d=1 t=8044
wo zuo tian 	我昨天	c=2 d=1 t=10309
wu 	五	c=4 d=1.04802 t=10154
wu 	烏	c=0 d=0.1 t=3864
wu 	無	c=7 d=1.00001 t=4038
wu 	物	c=0 d=0.1 t=4106
wu an 	午安	c=2 d=1 t=5154
wu bai 	五百	c=1 d=1 t=9422
wu dian 	五點	c=1 d=1 t=8055
wu dian ban 	五點半	c=1 d=1 t=7734
wu fen zhong 	五分鐘	c=1 d=1 t=7893
wu ge 	五個	c=1 d=1 t=6093
wu han 	武漢	c=1 d=1 t=5335
wu hu 	蕪湖	c=1 d=1 t=1920
wu ju shi 	烏局勢	c=1 d=1 t=3865
wu ke lan 	烏克蘭	c=2 d=1.00205 t=4375
wu la 	烏拉	c=2 d=1.99501 t=3130
wu le 	無了	c=2 d=1.99501 t=1737
wu lian wang 	物聯網	c=8 d=1 t=8048
wu nai 	吾乃	c=2 d=1.00613 t=3888
wu sha 	誤殺	c=1 d=0.786628 t=11992
wu tian 	五天	c=1 d=1 t=10040
wu tiao jian 	無條件	c=1 d=1 t=3081
wu wu wu 	嗚嗚嗚	c=4 d=1.00007 t=8943
wu xiao 	五小	c=0 d=0.1 t=3874
wu xiao qu 	五小區	c=1 d=1 t=3875
wu xiu 	午休	c=1 d=1 t=5151
xi 	戲	c=1 d=1 t=5716
xi 	洗	c=0 d=0.1 t=9455
xi 	系	c=0 d=0.1 t=4874
xi ha yi fu 	洗哈衣服	c=1 d=1 t=9456
xi huan ma 	喜歡嗎	c=1 d=1 t=6280
xi le 	洗了	c=1 d=0.00301974 t=11992
xi le zao 	洗了澡	c=1 d=0.0303488 t=11992
xi nan da xue 	西南大學	c=1 d=1 t=7310
xi tong 	系統	c=4 d=0.145608 t=11992
xi tong zi yuan 	系統資源	c=1 d=1 t=1806
xi wan 	洗完	c=1 d=0.0468877 t=11992
xi wang 	希望	c=1 d=1 t=9181
xi xi 	嘻嘻	c=4 d=1.00003 t=10247
xi xi 	洗洗	c=0 d=0.00175974 t=11992
xi xi shui jiao 	洗洗睡覺	c=1 d=0.0176857 t=11992
xi yi 	洗衣	c=0 d=0.1 t=7397
xi zhan 	西站	c=2 d=1.61878 t=3430
xia 	下	c=30 d=0.991842 t=11992
xia 	夏	c=1 d=1 t=6335
xia ai 	狹隘	c=1 d=0.1 t=9185
xia ban 	下班	c=7 d=0.0522045 t=11992
xia ban de 	下班的	c=1 d=0.524662 t=11992
xia ban nian 	下半年	c=1 d=1 t=6344
xia ci 	下次	c=2 d=1 t=9892
xia fan 	下飯	c=1 d=1 t=5270
xia hui 	下回	c=4 d=1.01926 t=10775
xia lai 	下來	c=3 d=0.1 t=9419
xia lai le 	下來了	c=1 d=1 t=6169
xia le 	下了	c=0 d=0.1 t=2011
xia le ban 	下了班	c=1 d=1 t=2012
xia li 	下里	c=1 d=1 t=8484
xia lou 	下樓	c=1 d=0.264477 t=11992
xia mian 	下麪	c=2 d=1.46047 t=372
xia ren 	嚇人	c=1 d=1 t=2083
xia tian 	夏天	c=2 d=1 t=7577
xia wu 	下午	c=6 d=1.99025 t=10578
xia xue 	下雪	c=1 d=1 t=3428
xia yi bu 	下一步	c=1 d=1 t=343
xia yi ge 	下一個	c=1 d=1 t=7023
xia yi ge shi 	下一個是	c=1 d=1 t=1810
xia yi ju 	下一句	c=1 d=1 t=2790
xia yu 	下雨	c=2 d=0.580624 t=11992
xia zai 	下載	c=8 d=0.747231 t=11992
xia zai ge 	下載哥	c=1 d=1 t=3850
xia zhou 	下周	c=2 d=1 t=8837
xia zhou si 	下周四	c=1 d=1 t=3805
xian 	先	c=20 d=1.71118 t=11955
xian 	險	c=2 d=0.737628 t=9633
xian ba 	先把	c=1 d=1 t=7980
xian bie zhao ji jin qu 	險別着急進去	c=1 d=1 t=9634
xian bu dong 	先不动	c=1 d=1 t=11665
xian bu ji 	先不急	c=1 d=1 t=11690
xian chang 	現場	c=1 d=1 t=7193
xian dian 	先點	c=1 d=1 t=2831
xian fa 	先發	c=1 d=1 t=5938
xian gai 	先改	c=1 d=1 t=733
xian han wo 	先喊我	c=1 d=1 t=5552
xian han yun wei 	先喊運維	c=1 d=1 t=10779
xian hui qu 	先回去	c=1 d=1 t=4929
xian mu 	羨慕	c=3 d=0.0276072 t=11992
xian mu bu yi 	羨慕不已	c=1 d=0.0439369 t=11992
xian mu ma 	羨慕嗎	c=1 d=1 t=10057
xian mu ni 	羨慕你	c=1 d=1 t=9887
xian mu wo 	羨慕我	c=1 d=1 t=2406
xian nong 	先弄	c=1 d=1 t=10281
xian qi 	嫌棄	c=2 d=1.0014 t=5069
xian qu shi shi 	先去試試	c=1 d=1 t=5291
xian sen 	先森	c=12 d=0.558932 t=11992
xian shang 	線上	c=1 d=0.180866 t=11992
xian shao 	嫌少	c=1 d=1 t=10322
xian sheng 	先生	c=1 d=1 t=7957
xian shi 	顯示	c=12 d=1.00237 t=8682
xian shi qi 	顯示器	c=5 d=1.33764 t=9533
xian tao 	仙桃	c=0 d=0.1 t=5763
xian tao shu ju gu 	仙桃數據股	c=1 d=1 t=5764
xian yong zhe 	先用着	c=1 d=1 t=11651
xian zai 	現在	c=19 d=0.0979999 t=11992
xian zai shi 	現在是	c=2 d=1 t=7631
xian zhi 	限制	c=2 d=1.46767 t=476
xian zhi xing 	先執行	c=1 d=1 t=2787
xiang 	向	c=6 d=1.03776 t=11298
xiang 	想	c=8 d=0.142987 t=11992
xiang bi 	相比	c=1 d=1 t=1250
xiang chi 	想喫	c=1 d=1 t=1911
xiang dang yu 	相當於	c=1 d=1 t=9862
xiang duo le 	想多了	c=2 d=1 t=5955
xiang guan 	相關	c=6 d=1 t=10747
xiang he ni 	想和你	c=1 d=1 t=11299
xiang lai 	想來	c=2 d=1.92774 t=5597
xiang mu 	項目	c=13 d=1.17453 t=10802
xiang mu wai bao 	項目外包	c=1 d=1 t=2127
xiang qing 	详情	c=1 d=1 t=11518
xiang wan 	想玩	c=1 d=1 t=1319
xiang wen 	想問	c=0 d=0.00376282 t=11992
xiang wo 	想我	c=1 d=1.00002 t=3297
xiang wo de ye 	想我的夜	c=1 d=1 t=1574
xiang wo mei 	想我沒	c=1 d=1 t=1569
xiang xi 	詳細	c=1 d=1 t=10817
xiang xin 	相信	c=1 d=1 t=5816
xiang xue 	想學	c=0 d=0.1 t=3780
xiang yong 	享用	c=1 d=1 t=3722
xiang zhe 	想着	c=0 d=0.1 t=3630
xiang zhi dao 	想知道	c=1 d=1 t=8104
xiao 	小	c=5 d=1.30728 t=11971
xiao 	曉	c=1 d=1 t=2998
xiao 	笑	c=1 d=1 t=731
xiao 	肖	c=0 d=0.1 t=4977
xiao bo 	小波	c=4 d=1.11954 t=11502
xiao cai 	小菜	c=1 d=1 t=5211
xiao cheng xu 	小程序	c=15 d=1.00208 t=11378
xiao de 	小的	c=1 d=1 t=8523
xiao de 	曉得	c=1 d=1.0001 t=9558
xiao dian 	小點	c=0 d=0.1 t=5121
xiao gang wan 	小港灣	c=1 d=1 t=1428
xiao gong si 	小公司	c=1 d=1 t=2141
xiao hao 	小豪	c=1 d=0.782705 t=11992
xiao ji ling gui 	小機靈鬼	c=0 d=0.1 t=2824
xiao ji ling gui er 	小機靈鬼兒	c=1 d=1 t=2825
xiao jie jie 	小姐姐	c=1 d=1 t=8118
xiao ke ai 	小可愛	c=1 d=1 t=878
xiao lang hao 	小狼毫	c=1 d=0.900325 t=11992
xiao lao ban gei wo shuo de 	肖老闆給我說得	c=1 d=1 t=4978
xiao mei 	小妹	c=0 d=0.1 t=4221
xiao mei er 	小妹兒	c=1 d=1 t=4222
xiao qu 	小區	c=1 d=1 t=6371
xiao qu gan sha 	小區乾啥	c=1 d=1 t=793
xiao shi 	小時	c=1 d=1 t=6157
xiao shi hou 	小時候	c=1 d=0.697676 t=11992
xiao shi zi 	小十字	c=1 d=1 t=2096
xiao xi 	消息	c=1 d=1 t=2053
xie 	些	c=5 d=0.110739 t=10407
xie 	寫	c=4 d=0.101057 t=11967
xie cuo le 	寫錯了	c=1 d=1 t=11001
xie de 	寫的	c=6 d=1.92774 t=10384
xie dui 	寫對	c=1 d=1 t=9428
xie ge 	寫個	c=1 d=1 t=6081
xie hao 	寫好	c=1 d=1 t=3815
xie le 	寫了	c=1 d=0.1 t=3998
xie shang qu 	寫上去	c=1 d=1 t=10609
xie si 	寫死	c=1 d=1 t=6496
xie xie 	謝謝	c=1 d=1 t=10262
xie yi 	協議	c=0 d=0.0054183 t=11992
xie yi cu 	協議簇	c=1 d=0.0227089 t=11992
xie yi ge 	寫一個	c=3 d=1.98028 t=6523
xin 	信	c=1 d=0.0169594 t=11992
xin 	新	c=3 d=1.00012 t=10336
xin dong 	心動	c=1 d=1 t=5541
xin du qiao 	新都橋	c=1 d=0.10383 t=11992
xin gong dan 	新工單	c=1 d=1 t=799
xin guan 	信管	c=1 d=1 t=7058
xin hao 	信號	c=1 d=1 t=7756
xin jia 	新加	c=3 d=1.00145 t=10095
xin jian 	新建	c=0 d=0.1 t=6952
xin jian yi ge 	新建一個	c=1 d=1 t=6953
xin jiang 	新疆	c=1 d=1.06079 t=3364
xin le 	信了	c=1 d=1 t=3295
xin qu 	新區	c=2 d=1.56553 t=3738
xin ren 	信任	c=1 d=1 t=10175
xin tai 	心態	c=1 d=1 t=10583
xin wen 	新聞	c=1 d=1 t=3838
xin xi 	信息	c=7 d=1.03782 t=11283
xin xi an quan 	信息安全	c=1 d=0.031273 t=11992
xin xian 	心絃	c=1 d=1 t=11954
xin zeng 	新增	c=1 d=1 t=10090
xin zhuang 	新裝	c=6 d=2.0165 t=8548
xin zou 	新走	c=1 d=1 t=10053
xing 	行	c=0 d=0.1 t=10337
xing ba 	行吧	c=2 d=0.620805 t=11992
xing da 	興達	c=0 d=0.1 t=8077
xing fu 	幸福	c=2 d=0.911353 t=11992
xing shi 	形式	c=0 d=0.1 t=10263
xiu 	修	c=0 d=0.1 t=7397
xiu er 	秀兒	c=1 d=1 t=7378
xiu gai 	修改	c=13 d=2.58896 t=8072
xiu xi 	休息	c=3 d=0.100907 t=8800
xiu xi xia 	休息下	c=1 d=1 t=3794
xiu xi yi ha 	修洗衣哈	c=1 d=1 t=7398
xu 	續	c=0 d=0.1 t=3992
xu hao 	序號	c=0 d=0.1 t=10585
xu hao san 	序號三	c=1 d=1 t=10586
xu qiu 	需求	c=6 d=0.324652 t=11992
xu qiu fen xi 	需求分析	c=1 d=0.0343897 t=11992
xu yao 	需要	c=7 d=2.46225 t=7812
xu yao ni 	需要你	c=1 d=1 t=5021
xu yao yi ge 	需要一個	c=1 d=1 t=7558
xuan 	選	c=1 d=1 t=2396
xuan ci 	選詞	c=1 d=1 t=4393
xuan ze 	選擇	c=2 d=0.287471 t=3647
xue 	學	c=1 d=1 t=6211
xue ba 	學霸	c=1 d=1 t=4339
xue wo 	學我	c=0 d=0.1 t=10195
xue wo shuo hua 	學我說話	c=1 d=1 t=10196
xue xi 	學習	c=2 d=1.00003 t=9067
xue xiao 	學校	c=2 d=0.1 t=6999
xue zi 	靴子	c=2 d=1.99501 t=691
xun huan 	循環	c=1 d=1 t=3127
xun zhao 	尋找	c=1 d=0.918512 t=11992
ya 	呀	c=5 d=2.84604 t=11992
ya gen 	壓根	c=1 d=1 t=2245
yan jing 	眼睛	c=1 d=1 t=3698
yan jiu 	研究	c=1 d=1.00789 t=4353
yan jiu xia 	研究下	c=1 d=1 t=3846
yan se 	顏色	c=1 d=1 t=11926
yan shou 	驗收	c=1 d=0.0523397 t=11992
yan zheng 	驗證	c=3 d=1.00047 t=8522
yan zheng ma 	驗證碼	c=3 d=2.81548 t=1462
yang 	楊	c=2 d=1.00193 t=4247
yang dong 	楊東	c=1 d=1 t=3872
yang jin 	洋金	c=0 d=0.1 t=11781
yang jin long 	洋金龍	c=1 d=1 t=11782
yang qi 	央企	c=1 d=1 t=10240
yang wo qi zuo 	仰臥起坐	c=1 d=1 t=6384
yao 	藥	c=1 d=1 t=4518
yao 	要	c=30 d=0.656582 t=11992
yao bu 	要不	c=2 d=1 t=11646
yao bu shi 	要不是	c=1 d=1 t=6614
yao bu yao 	要不要	c=1 d=0.063609 t=11992
yao chi 	要吃	c=1 d=1 t=5311
yao chu li 	要处理	c=1 d=1 t=11365
yao chuan 	要穿	c=1 d=1 t=6319
yao dao 	搖到	c=0 d=0.1 t=1213
yao de 	要的	c=3 d=1 t=8468
yao fa 	要發	c=1 d=1 t=8717
yao fa ban 	要發版	c=1 d=1 t=8701
yao gai 	要改	c=1 d=1 t=7599
yao gai xia 	要改下	c=1 d=1 t=5895
yao gei 	要給	c=0 d=0.1 t=6664
yao gei ni 	要給你	c=1 d=1 t=6665
yao jia 	要加	c=1 d=1 t=6142
yao jia ban 	要加班	c=1 d=1 t=10142
yao jian fei 	要減肥	c=1 d=1 t=8930
yao kai hui 	要開會	c=1 d=1 t=7739
yao kong 	遙控	c=1 d=1 t=3505
yao le 	要了	c=1 d=1 t=1754
yao lian jie 	要鏈結	c=1 d=1 t=2971
yao ma 	要嗎	c=1 d=1 t=10836
yao mai 	要買	c=1 d=1 t=8264
yao qiu 	要求	c=2 d=1 t=7534
yao qu 	要去	c=2 d=1 t=11234
yao shen me 	要什麼	c=1 d=1 t=8142
yao shi 	要是	c=1 d=1 t=3418
yao shi 	鑰匙	c=3 d=1.98056 t=9320
yao shuo 	要說	c=1 d=1 t=5091
yao si 	要死	c=1 d=1 t=1545
yao tian 	要填	c=1 d=1 t=8157
yao tou 	搖頭	c=1 d=1 t=3887
yao wen 	要聞	c=0 d=0.1 t=3174
yao wen zhe ge 	要聞這個	c=1 d=1 t=3175
yao yi qi 	要一起	c=1 d=1 t=7012
yao you 	要有	c=2 d=1 t=10881
yao zai 	要再	c=2 d=1.05029 t=7325
yao zou 	要走	c=2 d=1 t=8714
ye 	也	c=25 d=0.658317 t=11992
ye 	夜	c=0 d=0.1 t=1573
ye 	液	c=3 d=1.01436 t=2808
ye 	葉	c=5 d=1.01743 t=5931
ye 	頁	c=2 d=1.08644 t=10607
ye bu gan 	也不敢	c=1 d=1 t=3995
ye bu hui 	也不會	c=1 d=0.205975 t=11992
ye bu neng 	也不能	c=1 d=1 t=4341
ye bu yong 	也不用	c=0 d=0.0339596 t=11992
ye bu yong mai le 	也不用買了	c=1 d=0.341298 t=11992
ye dao 	噎到	c=1 d=1 t=10715
ye dei 	也得	c=1 d=1 t=7714
ye dei yao 	也得要	c=1 d=1 t=4995
ye gai 	也該	c=0 d=0.1 t=8956
ye gai le de 	也該了的	c=1 d=1 t=8957
ye hai 	也還	c=0 d=0.0546075 t=11992
ye hai hao 	也還好	c=1 d=0.548811 t=11992
ye hai ke yi 	也還可以	c=1 d=1 t=7182
ye hao 	也好	c=1 d=1 t=7519
ye hao hao shou shi 	也好好收拾	c=1 d=1 t=4562
ye hen gui 	也很貴	c=1 d=0.0275983 t=11992
ye hui 	也會	c=1 d=1 t=531
ye jiu 	也就	c=3 d=1 t=10266
ye jiu shi ji ge 	也就十幾個	c=1 d=1 t=779
ye kan 	也看	c=1 d=1 t=5837
ye ke yi 	也可以	c=5 d=1.31099 t=9367
ye mei 	也沒	c=1 d=0.0321422 t=11992
ye mei ren guan ta 	也沒人管他	c=1 d=1 t=5181
ye mei ren shuo 	也沒人說	c=1 d=1 t=4649
ye mei sha 	也沒啥	c=1 d=0.323033 t=11992
ye mian 	液面	c=4 d=1.99522 t=11836
ye mian 	頁面	c=2 d=1.00018 t=11866
ye mian shang 	頁面上	c=1 d=1 t=8783
ye shi 	也使	c=1 d=0.600496 t=11992
ye shi 	也是	c=5 d=0.603506 t=11992
ye shi zai 	也是在	c=1 d=1 t=8191
ye song ge 	也送个	c=1 d=1 t=11749
ye wen 	也問	c=0 d=0.1 t=4960
ye wen le 	也問了	c=1 d=1 t=4961
ye wu 	業務	c=0 d=0.1 t=261
ye wu biao 	業務表	c=12 d=0.172086 t=8661
ye xing 	也行	c=4 d=1.08127 t=9322
ye yao 	也要	c=2 d=1 t=11034
ye yi yang 	也一樣	c=1 d=1 t=1346
ye yo 	也喲	c=1 d=1 t=3406
ye zai 	也再	c=0 d=0.1 t=8245
ye zai yong 	也再用	c=1 d=1 t=8246
ye zhao 	也找	c=0 d=0.1 t=497
ye zhao zhao 	也找找	c=1 d=1 t=498
yi 	一	c=0 d=0.116203 t=5725
yi 	姨	c=1 d=1 t=3666
yi 	已	c=4 d=0.0256661 t=11992
yi ai 	一愛	c=0 d=0.1 t=8452
yi ba nian 	一八年	c=1 d=1 t=1174
yi bai duo 	一百多	c=1 d=1 t=8215
yi ban 	一版	c=1 d=0.1 t=6125
yi ban 	一般	c=2 d=1 t=7706
yi ban 	已辦	c=1 d=1 t=6471
yi bei zi 	一輩子	c=2 d=1.80252 t=3526
yi bian 	一遍	c=1 d=0.139164 t=1154
yi bing 	一併	c=1 d=1 t=9418
yi bo 	一波	c=1 d=0.0464212 t=11992
yi bu 	一步	c=0 d=0.1 t=1234
yi bu cuo 	一步錯	c=1 d=1 t=3509
yi bu fen 	一部分	c=1 d=0.371173 t=10160
yi bu xiao xin 	一不小心	c=1 d=1 t=7965
yi bu yi bu 	一步一步	c=1 d=1 t=2943
yi chang 	異常	c=2 d=0.1 t=10681
yi che dan 	已撤單	c=2 d=1 t=7863
yi che xiao 	一撤銷	c=1 d=1 t=2484
yi che xiao 	已撤銷	c=11 d=2.05935 t=9254
yi chu 	移除	c=1 d=1 t=948
yi da 	一大	c=0 d=0.1 t=5770
yi da ba 	一大吧	c=2 d=1.00154 t=7066
yi dao qi 	已到期	c=1 d=1 t=10960
yi dian 	一點	c=3 d=0.100042 t=7690
yi dian dian 	一點點	c=1 d=1 t=5390
yi ding 	一定	c=1 d=0.293758 t=11992
yi dong 	移動	c=1 d=1.00003 t=8220
yi dong ke fu 	移動客服	c=1 d=1 t=6576
